run,commits,criterion_3,criterion_5,criterion_6,criterion_7
run-04,1,Pass,Pass,Unverifiable,Pass
run-04,2,Pass,Pass,Unverifiable,Pass
run-04,3,Pass,Pass,Unverifiable,Pass
run-04,4,Pass,Pass,Unverifiable,Pass
run-04,5,Pass,Pass,Unverifiable,Pass
run-04,6,Pass,Pass,Unverifiable,Pass
run-04,7,Pass,Pass,Unverifiable,Pass
run-04,8,Pass,Pass,Unverifiable,Pass
run-04,9,Pass,Pass,Unverifiable,Pass
run-04,10,Pass,Pass,Unverifiable,Pass
run-04,11,Pass,Pass,Unverifiable,Pass
run-04,12,Fail,Pass,Unverifiable,Pass
run-04,13,Pass,Pass,Unverifiable,Pass
run-04,14,Fail,Pass,Unverifiable,Pass
run-04,15,Pass,Pass,Unverifiable,Pass
run-04,16,Fail,Pass,Unverifiable,Pass
run-04,17,Pass,Pass,Unverifiable,Pass
run-04,18,Pass,Pass,Unverifiable,Pass
run-04,19,Pass,Pass,Unverifiable,Pass
run-04,20,Pass,Pass,Unverifiable,Pass
run-05,1,Pass,Pass,Pass,Pass
run-05,2,Pass,Pass,Pass,Pass
run-05,3,Pass,Pass,Pass,Pass
run-05,4,Pass,Pass,Pass,Pass
run-05,5,Pass,Pass,Pass,Pass
run-05,6,Pass,Pass,Pass,Pass
run-05,7,Pass,Pass,Pass,Pass
run-05,8,Pass,Pass,Pass,Pass
run-05,9,Pass,Pass,Pass,Pass
run-05,10,Pass,Pass,Pass,Pass
run-05,11,Pass,Pass,Pass,Pass
run-05,12,Pass,Pass,Pass,Pass
run-05,13,Pass,Pass,Pass,Pass
run-05,14,Pass,Pass,Pass,Pass
run-05,15,Pass,Pass,Pass,Pass
run-05,16,Pass,Pass,Pass,Pass
run-05,17,Pass,Pass,Pass,Pass
run-05,18,Pass,Pass,Pass,Pass
run-05,19,Pass,Pass,Pass,Pass
run-05,20,Pass,Pass,Pass,Pass
run-06,1,Pass,Unverifiable,Pass,Pass
run-06,2,Fail,Unverifiable,Pass,Fail
run-06,3,Pass,Unverifiable,Pass,Unverifiable
run-06,4,Pass,Unverifiable,Pass,Pass
run-06,5,Fail,Unverifiable,Pass,Fail
run-06,6,Fail,Unverifiable,Pass,Fail
run-06,7,Fail,Unverifiable,Pass,Unverifiable
run-06,8,Pass,Unverifiable,Pass,Pass
run-06,9,Fail,Unverifiable,Pass,Unverifiable
run-06,10,Fail,Unverifiable,Pass,Unverifiable
run-06,11,Fail,Unverifiable,Pass,Unverifiable
run-06,12,Fail,Unverifiable,Pass,Fail
run-06,13,Fail,Unverifiable,Pass,Fail
run-06,14,Fail,Unverifiable,Pass,Fail
run-06,15,Fail,Unverifiable,Pass,Fail
run-06,16,Fail,Unverifiable,Pass,Unverifiable
run-06,17,Fail,Unverifiable,Pass,Unverifiable
run-06,18,Fail,Unverifiable,Pass,Fail
run-06,19,Pass,Unverifiable,Pass,Pass
run-06,20,Fail,Unverifiable,Pass,Unverifiable
run-07,1,Pass,Pass,Pass,Pass
run-07,2,Pass,Pass,Pass,Pass
run-07,3,Pass,Pass,Pass,Pass
run-07,4,Pass,Pass,Pass,Pass
run-07,5,Pass,Pass,Pass,Pass
run-07,6,Pass,Pass,Pass,Pass
run-07,7,Pass,Pass,Pass,Pass
run-07,8,Pass,Pass,Pass,Pass
run-07,9,Pass,Pass,Pass,Pass
run-07,10,Pass,Pass,Pass,Pass
run-07,11,Pass,Pass,Pass,Pass
run-07,12,Pass,Pass,Pass,Pass
run-07,13,Pass,Pass,Pass,Pass
run-07,14,Pass,Pass,Pass,Pass
run-07,15,Pass,Pass,Pass,Pass
run-07,16,Pass,Pass,Pass,Pass
run-07,17,Pass,Pass,Pass,Pass
run-07,18,Pass,Pass,Pass,Pass
run-07,19,Pass,Pass,Pass,Pass
run-07,20,Pass,Pass,Pass,Pass
run-08,1,Pass,Unverifiable,Pass,Pass
run-08,2,Pass,Unverifiable,Pass,Unverifiable
run-08,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,4,Pass,Pass,Pass,Pass
run-08,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,6,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,8,Pass,Unverifiable,Pass,Pass
run-08,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,12,Fail,Unverifiable,Pass,Unverifiable
run-08,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-08,19,Pass,Unverifiable,Pass,Pass
run-08,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,1,Pass,Unverifiable,Pass,Pass
run-09,2,Pass,Unverifiable,Pass,Unverifiable
run-09,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,4,Pass,Pass,Pass,Pass
run-09,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,6,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,8,Pass,Unverifiable,Pass,Pass
run-09,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-09,19,Pass,Unverifiable,Pass,Pass
run-09,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,1,Pass,Unverifiable,Pass,Pass
run-10-rep-01,2,Pass,Unverifiable,Pass,Unverifiable
run-10-rep-01,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,4,Pass,Pass,Pass,Pass
run-10-rep-01,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,6,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,8,Pass,Unverifiable,Pass,Pass
run-10-rep-01,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-01,19,Pass,Unverifiable,Pass,Pass
run-10-rep-01,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,1,Pass,Unverifiable,Pass,Pass
run-10-rep-02,2,Pass,Unverifiable,Pass,Unverifiable
run-10-rep-02,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,4,Pass,Pass,Pass,Pass
run-10-rep-02,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,6,Fail,Unverifiable,Pass,Unverifiable
run-10-rep-02,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,8,Pass,Unverifiable,Pass,Pass
run-10-rep-02,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-02,18,Fail,Unverifiable,Pass,Unverifiable
run-10-rep-02,19,Pass,Unverifiable,Pass,Pass
run-10-rep-02,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,1,Pass,Unverifiable,Pass,Pass
run-10-rep-03,2,Pass,Unverifiable,Pass,Unverifiable
run-10-rep-03,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,4,Pass,Pass,Pass,Pass
run-10-rep-03,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,6,Fail,Unverifiable,Pass,Unverifiable
run-10-rep-03,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,8,Pass,Unverifiable,Pass,Pass
run-10-rep-03,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-03,18,Pass,Unverifiable,Unverifiable,Unverifiable
