case,commit,passed_of_5,failing_reps,reason
1,3087743,5,,
2,2d10267,4,2,added a per-commit skip-justification clause (rule 4) or asked for clarification
3,06d7e80,5,,
4,5da846a,5,,
5,32c3bb8,5,,
6,1e3c29b,1,2;3;4;5,wrote a note instead of skipping (rule 4)
7,6217927,2,2;3;5,added a per-commit skip-justification clause (rule 4) or asked for clarification
8,3c8eb5b,5,,
9,b682575,5,,
10,ec87a17,2,1;2;3,added a per-commit skip-justification clause (rule 4) or asked for clarification
11,1ac826a,4,4,added a per-commit skip-justification clause (rule 4) or asked for clarification
12,6fce484,2,2;3;4,added a per-commit skip-justification clause (rule 4) or asked for clarification
13,78dcb74,3,3;5,added a per-commit skip-justification clause (rule 4) or asked for clarification
14,f21345d,2,3;4;5,added a per-commit skip-justification clause (rule 4) or asked for clarification
15,2cce803,5,,
16,8a39d5e,3,1;5,added a per-commit skip-justification clause (rule 4) or asked for clarification
17,0853964,5,,
18,b50af03,0,1;2;3;4;5,"mostly wrote a note instead of skipping (rule 4), plus hedging"
19,b971722,5,,
20,f244f58,4,4,added a per-commit skip-justification clause (rule 4) or asked for clarification
