case,commit,passed_of_5,failing_reps,reason
1,3087743,5,,
2,2d10267,1,"1, 3, 4, 5",asked for the diff/specifics instead of deciding (rule 10)
3,06d7e80,5,,
4,5da846a,5,,
5,32c3bb8,5,,
6,1e3c29b,2,"2, 3, 5",wrongly wrote a note instead of skipping
7,6217927,5,,
8,3c8eb5b,5,,
9,b682575,5,,
10,ec87a17,4,3,asked for the diff instead of deciding
11,1ac826a,5,,
12,6fce484,5,,
13,78dcb74,5,,
14,f21345d,5,,
15,2cce803,5,,
16,8a39d5e,5,,
17,0853964,5,,
18,b50af03,2,"1, 2, 5",rep 1 asked for clarification despite correctly skipping; reps 2 and 5 wrongly wrote a note
19,b971722,5,,
20,f244f58,5,,
